job.id n m mu max.k alpha evals max.evals time.passed PD repl type
95 100 4950 2 3 0.1 20000 20000 9.038 56 5 euclidean
96 100 4950 2 3 0.1 20000 20000 8.347 38 6 euclidean
97 100 4950 2 3 0.1 20000 20000 8.875 44 7 euclidean
98 100 4950 2 3 0.1 20000 20000 12.895 30 8 euclidean
99 100 4950 2 3 0.1 20000 20000 12.412 42 9 euclidean
100 100 4950 2 3 0.1 20000 20000 8.884 36 10 euclidean
101 100 4950 2 3 0.5 20000 20000 12.854 110 1 euclidean
102 100 4950 2 3 0.5 20000 20000 8.938 122 2 euclidean
103 100 4950 2 3 0.5 20000 20000 12.44 114 3 euclidean
104 100 4950 2 3 0.5 20000 20000 12.039 110 4 euclidean
105 100 4950 2 3 0.5 20000 20000 12.241 126 5 euclidean
106 100 4950 2 3 0.5 20000 20000 8.735 120 6 euclidean
107 100 4950 2 3 0.5 20000 20000 13.795 104 7 euclidean
108 100 4950 2 3 0.5 20000 20000 12.267 112 8 euclidean
109 100 4950 2 3 0.5 20000 20000 13.645 108 9 euclidean
110 100 4950 2 3 0.5 20000 20000 14.177 138 10 euclidean
111 100 4950 2 3 1 20000 20000 12.769 156 1 euclidean
112 100 4950 2 3 1 20000 20000 12.879 160 2 euclidean
113 100 4950 2 3 1 20000 20000 9.48 168 3 euclidean
114 100 4950 2 3 1 20000 20000 8.702 166 4 euclidean
115 100 4950 2 3 1 20000 20000 9.397 170 5 euclidean
116 100 4950 2 3 1 20000 20000 9.049 174 6 euclidean
117 100 4950 2 3 1 20000 20000 12.754 184 7 euclidean
118 100 4950 2 3 1 20000 20000 8.748 162 8 euclidean
119 100 4950 2 3 1 20000 20000 8.966 180 9 euclidean
120 100 4950 2 3 1 20000 20000 10.167 168 10 euclidean
121 100 4950 3 1 0.05 30000 30000 19.293 66 1 euclidean
122 100 4950 3 1 0.05 30000 30000 19.239 84 2 euclidean
123 100 4950 3 1 0.05 30000 30000 12.926 62 3 euclidean
124 100 4950 3 1 0.05 30000 30000 13.594 72 4 euclidean
125 100 4950 3 1 0.05 30000 30000 19.637 86 5 euclidean
126 100 4950 3 1 0.05 30000 30000 19.21 80 6 euclidean
127 100 4950 3 1 0.05 30000 30000 19.589 88 7 euclidean
128 100 4950 3 1 0.05 30000 30000 14.356 72 8 euclidean
129 100 4950 3 1 0.05 30000 30000 12.991 94 9 euclidean
130 100 4950 3 1 0.05 30000 30000 19.249 72 10 euclidean
131 100 4950 3 1 0.1 30000 30000 18.075 90 1 euclidean
132 100 4950 3 1 0.1 30000 30000 13.618 98 2 euclidean
133 100 4950 3 1 0.1 30000 30000 12.941 94 3 euclidean
134 100 4950 3 1 0.1 30000 30000 19.297 82 4 euclidean
135 100 4950 3 1 0.1 30000 30000 12.963 118 5 euclidean
136 100 4950 3 1 0.1 30000 30000 12.666 106 6 euclidean
137 100 4950 3 1 0.1 30000 30000 18.661 86 7 euclidean
138 100 4950 3 1 0.1 30000 30000 13.677 86 8 euclidean
139 100 4950 3 1 0.1 30000 30000 17.955 102 9 euclidean
140 100 4950 3 1 0.1 30000 30000 13.536 120 10 euclidean
141 100 4950 3 1 0.5 30000 30000 19.277 178 1 euclidean
142 100 4950 3 1 0.5 30000 30000 18.481 184 2 euclidean
143 100 4950 3 1 0.5 30000 30000 13.966 184 3 euclidean
144 100 4950 3 1 0.5 30000 30000 19.47 214 4 euclidean
145 100 4950 3 1 0.5 30000 30000 19.13 178 5 euclidean
146 100 4950 3 1 0.5 30000 30000 13.477 162 6 euclidean
147 100 4950 3 1 0.5 30000 30000 14.62 178 7 euclidean
148 100 4950 3 1 0.5 30000 30000 15.38 162 8 euclidean
149 100 4950 3 1 0.5 30000 30000 19.579 178 9 euclidean
150 100 4950 3 1 0.5 30000 30000 13.541 160 10 euclidean
151 100 4950 3 1 1 30000 30000 13.107 266 1 euclidean
152 100 4950 3 1 1 30000 30000 14.853 288 2 euclidean
153 100 4950 3 1 1 30000 30000 13.75 232 3 euclidean
154 100 4950 3 1 1 30000 30000 14.368 300 4 euclidean
155 100 4950 3 1 1 30000 30000 21.084 250 5 euclidean
156 100 4950 3 1 1 30000 30000 22.254 318 6 euclidean
157 100 4950 3 1 1 30000 30000 16.044 248 7 euclidean
158 100 4950 3 1 1 30000 30000 20.157 292 8 euclidean
159 100 4950 3 1 1 30000 30000 21.53 276 9 euclidean
160 100 4950 3 1 1 30000 30000 14.465 268 10 euclidean
161 100 4950 3 2 0.05 30000 30000 13.252 92 1 euclidean
162 100 4950 3 2 0.05 30000 30000 18.457 78 2 euclidean
163 100 4950 3 2 0.05 30000 30000 14.133 92 3 euclidean
164 100 4950 3 2 0.05 30000 30000 14.664 98 4 euclidean
165 100 4950 3 2 0.05 30000 30000 19.67 58 5 euclidean
166 100 4950 3 2 0.05 30000 30000 13.375 82 6 euclidean
167 100 4950 3 2 0.05 30000 30000 13.435 86 7 euclidean
168 100 4950 3 2 0.05 30000 30000 14.096 62 8 euclidean
169 100 4950 3 2 0.05 30000 30000 13.594 72 9 euclidean
170 100 4950 3 2 0.05 30000 30000 13.193 86 10 euclidean
171 100 4950 3 2 0.1 30000 30000 19.723 130 1 euclidean
172 100 4950 3 2 0.1 30000 30000 18.086 138 2 euclidean
173 100 4950 3 2 0.1 30000 30000 13.345 138 3 euclidean
174 100 4950 3 2 0.1 30000 30000 13.082 140 4 euclidean
175 100 4950 3 2 0.1 30000 30000 12.661 126 5 euclidean
176 100 4950 3 2 0.1 30000 30000 17.924 152 6 euclidean
177 100 4950 3 2 0.1 30000 30000 19.112 128 7 euclidean
178 100 4950 3 2 0.1 30000 30000 13.146 124 8 euclidean
179 100 4950 3 2 0.1 30000 30000 13.527 138 9 euclidean
180 100 4950 3 2 0.1 30000 30000 18.259 124 10 euclidean
181 100 4950 3 2 0.5 30000 30000 13.536 348 1 euclidean
182 100 4950 3 2 0.5 30000 30000 14.72 360 2 euclidean
183 100 4950 3 2 0.5 30000 30000 14.151 326 3 euclidean
184 100 4950 3 2 0.5 30000 30000 13.888 348 4 euclidean
185 100 4950 3 2 0.5 30000 30000 13.469 346 5 euclidean
186 100 4950 3 2 0.5 30000 30000 13.955 342 6 euclidean
187 100 4950 3 2 0.5 30000 30000 20.243 336 7 euclidean
188 100 4950 3 2 0.5 30000 30000 20.785 336 8 euclidean
189 100 4950 3 2 0.5 30000 30000 19.695 336 9 euclidean
190 100 4950 3 2 0.5 30000 30000 19.137 368 10 euclidean
191 100 4950 3 2 1 30000 30000 19.902 478 1 euclidean
192 100 4950 3 2 1 30000 30000 13.369 486 2 euclidean
193 100 4950 3 2 1 30000 30000 13.096 480 3 euclidean
194 100 4950 3 2 1 30000 30000 13.204 488 4 euclidean
195 100 4950 3 2 1 30000 30000 13.953 460 5 euclidean
196 100 4950 3 2 1 30000 30000 18.804 466 6 euclidean
197 100 4950 3 2 1 30000 30000 19.305 470 7 euclidean
198 100 4950 3 2 1 30000 30000 18.614 486 8 euclidean
199 100 4950 3 2 1 30000 30000 19.631 456 9 euclidean
200 100 4950 3 2 1 30000 30000 15.344 448 10 euclidean
201 100 4950 3 3 0.05 30000 30000 13.779 54 1 euclidean
202 100 4950 3 3 0.05 30000 30000 12.726 64 2 euclidean
203 100 4950 3 3 0.05 30000 30000 13.489 84 3 euclidean
204 100 4950 3 3 0.05 30000 30000 18.965 78 4 euclidean
205 100 4950 3 3 0.05 30000 30000 12.916 78 5 euclidean
206 100 4950 3 3 0.05 30000 30000 20.35 56 6 euclidean
207 100 4950 3 3 0.05 30000 30000 13.944 68 7 euclidean
208 100 4950 3 3 0.05 30000 30000 13.38 68 8 euclidean
209 100 4950 3 3 0.05 30000 30000 12.413 78 9 euclidean
210 100 4950 3 3 0.05 30000 30000 13.4 96 10 euclidean
211 100 4950 3 3 0.1 30000 30000 12.418 112 1 euclidean
212 100 4950 3 3 0.1 30000 30000 12.888 134 2 euclidean
213 100 4950 3 3 0.1 30000 30000 13.524 146 3 euclidean
214 100 4950 3 3 0.1 30000 30000 13.666 94 4 euclidean
215 100 4950 3 3 0.1 30000 30000 18.318 138 5 euclidean
216 100 4950 3 3 0.1 30000 30000 13.523 106 6 euclidean
217 100 4950 3 3 0.1 30000 30000 12.869 122 7 euclidean
218 100 4950 3 3 0.1 30000 30000 20.22 134 8 euclidean
219 100 4950 3 3 0.1 30000 30000 13.65 128 9 euclidean
220 100 4950 3 3 0.1 30000 30000 12.165 118 10 euclidean
221 100 4950 3 3 0.5 30000 30000 20.003 340 1 euclidean
222 100 4950 3 3 0.5 30000 30000 13.392 330 2 euclidean
223 100 4950 3 3 0.5 30000 30000 13.402 368 3 euclidean
224 100 4950 3 3 0.5 30000 30000 19.069 370 4 euclidean
225 100 4950 3 3 0.5 30000 30000 15.543 348 5 euclidean
226 100 4950 3 3 0.5 30000 30000 20.301 326 6 euclidean
227 100 4950 3 3 0.5 30000 30000 19.62 324 7 euclidean
228 100 4950 3 3 0.5 30000 30000 12.711 368 8 euclidean
229 100 4950 3 3 0.5 30000 30000 13.258 348 9 euclidean
230 100 4950 3 3 0.5 30000 30000 13.328 322 10 euclidean
231 100 4950 3 3 1 30000 30000 19.884 462 1 euclidean
232 100 4950 3 3 1 30000 30000 14.274 490 2 euclidean
233 100 4950 3 3 1 30000 30000 18.462 462 3 euclidean
234 100 4950 3 3 1 30000 30000 20.17 476 4 euclidean
235 100 4950 3 3 1 30000 30000 14.041 488 5 euclidean
236 100 4950 3 3 1 30000 30000 13.802 472 6 euclidean
237 100 4950 3 3 1 30000 30000 12.867 494 7 euclidean
238 100 4950 3 3 1 30000 30000 18.967 468 8 euclidean
239 100 4950 3 3 1 30000 30000 19.888 464 9 euclidean
240 100 4950 3 3 1 30000 30000 24.982 454 10 euclidean
241 100 4950 10 1 0.05 1e+05 1e+05 71.592 2006 1 euclidean
242 100 4950 10 1 0.05 1e+05 1e+05 72.218 2186 2 euclidean
243 100 4950 10 1 0.05 1e+05 1e+05 55.326 2050 3 euclidean
244 100 4950 10 1 0.05 1e+05 1e+05 82.553 2252 4 euclidean
245 100 4950 10 1 0.05 1e+05 1e+05 57.755 2290 5 euclidean
246 100 4950 10 1 0.05 1e+05 1e+05 53.419 2290 6 euclidean
247 100 4950 10 1 0.05 1e+05 1e+05 54.807 2258 7 euclidean
248 100 4950 10 1 0.05 1e+05 1e+05 58.403 2198 8 euclidean
249 100 4950 10 1 0.05 1e+05 1e+05 54.337 2236 9 euclidean
250 100 4950 10 1 0.05 1e+05 1e+05 80.457 2382 10 euclidean
251 100 4950 10 1 0.1 1e+05 1e+05 57.451 3022 1 euclidean
252 100 4950 10 1 0.1 1e+05 1e+05 52.778 2962 2 euclidean
253 100 4950 10 1 0.1 1e+05 1e+05 54.248 3154 3 euclidean
254 100 4950 10 1 0.1 1e+05 1e+05 52.837 2996 4 euclidean
255 100 4950 10 1 0.1 1e+05 1e+05 53.844 2926 5 euclidean
256 100 4950 10 1 0.1 1e+05 1e+05 57.083 2666 6 euclidean
257 100 4950 10 1 0.1 1e+05 1e+05 78.301 3044 7 euclidean
258 100 4950 10 1 0.1 1e+05 1e+05 59.771 3154 8 euclidean
259 100 4950 10 1 0.1 1e+05 1e+05 57.622 2908 9 euclidean
260 100 4950 10 1 0.1 1e+05 1e+05 57.093 3056 10 euclidean
261 100 4950 10 1 0.5 1e+05 1e+05 82.375 5426 1 euclidean
262 100 4950 10 1 0.5 1e+05 1e+05 67.557 5326 2 euclidean
263 100 4950 10 1 0.5 1e+05 1e+05 78.94 5306 3 euclidean
264 100 4950 10 1 0.5 1e+05 1e+05 80.553 5190 4 euclidean
265 100 4950 10 1 0.5 1e+05 1e+05 74.092 5334 5 euclidean
266 100 4950 10 1 0.5 1e+05 1e+05 56.611 5408 6 euclidean
267 100 4950 10 1 0.5 1e+05 1e+05 84.805 5088 7 euclidean
268 100 4950 10 1 0.5 1e+05 1e+05 57.615 5606 8 euclidean
269 100 4950 10 1 0.5 1e+05 1e+05 78.031 5178 9 euclidean
270 100 4950 10 1 0.5 1e+05 1e+05 81.482 5300 10 euclidean
271 100 4950 10 1 1 1e+05 1e+05 57.11 6744 1 euclidean
272 100 4950 10 1 1 1e+05 1e+05 83.035 5864 2 euclidean
273 100 4950 10 1 1 1e+05 1e+05 58.425 6030 3 euclidean
274 100 4950 10 1 1 1e+05 1e+05 61.767 6128 4 euclidean
275 100 4950 10 1 1 1e+05 1e+05 55.493 6282 5 euclidean
276 100 4950 10 1 1 1e+05 1e+05 86.74 6822 6 euclidean
277 100 4950 10 1 1 1e+05 1e+05 61.503 6354 7 euclidean
278 100 4950 10 1 1 1e+05 1e+05 80.93 6080 8 euclidean
279 100 4950 10 1 1 1e+05 1e+05 59.55 6258 9 euclidean
280 100 4950 10 1 1 1e+05 1e+05 58.83 6366 10 euclidean
281 100 4950 10 2 0.05 1e+05 1e+05 78.192 1940 1 euclidean
282 100 4950 10 2 0.05 1e+05 1e+05 58.046 2102 2 euclidean
283 100 4950 10 2 0.05 1e+05 1e+05 46.345 1972 3 euclidean
284 100 4950 10 2 0.05 1e+05 1e+05 53.083 2222 4 euclidean
285 100 4950 10 2 0.05 1e+05 1e+05 49.412 2010 5 euclidean
286 100 4950 10 2 0.05 1e+05 1e+05 55.131 1902 6 euclidean
287 100 4950 10 2 0.05 1e+05 1e+05 79.605 2098 7 euclidean
288 100 4950 10 2 0.05 1e+05 1e+05 96.08 1992 8 euclidean
289 100 4950 10 2 0.05 1e+05 1e+05 75.858 1972 9 euclidean
290 100 4950 10 2 0.05 1e+05 1e+05 56.079 2024 10 euclidean
291 100 4950 10 2 0.1 1e+05 1e+05 71.412 2876 1 euclidean
292 100 4950 10 2 0.1 1e+05 1e+05 67.762 2826 2 euclidean
293 100 4950 10 2 0.1 1e+05 1e+05 69.26 2726 3 euclidean
294 100 4950 10 2 0.1 1e+05 1e+05 59.672 2950 4 euclidean
295 100 4950 10 2 0.1 1e+05 1e+05 53.295 2816 5 euclidean
296 100 4950 10 2 0.1 1e+05 1e+05 53.84 2886 6 euclidean
297 100 4950 10 2 0.1 1e+05 1e+05 53.961 2944 7 euclidean
298 100 4950 10 2 0.1 1e+05 1e+05 73.49 2640 8 euclidean
299 100 4950 10 2 0.1 1e+05 1e+05 71.433 2688 9 euclidean
300 100 4950 10 2 0.1 1e+05 1e+05 53.811 2960 10 euclidean
301 100 4950 10 2 0.5 1e+05 1e+05 49.965 5460 1 euclidean
302 100 4950 10 2 0.5 1e+05 1e+05 58.336 5714 2 euclidean
303 100 4950 10 2 0.5 1e+05 1e+05 77.777 5500 3 euclidean
304 100 4950 10 2 0.5 1e+05 1e+05 80.06 5562 4 euclidean
305 100 4950 10 2 0.5 1e+05 1e+05 79.246 5344 5 euclidean
306 100 4950 10 2 0.5 1e+05 1e+05 71.367 5590 6 euclidean
307 100 4950 10 2 0.5 1e+05 1e+05 59.665 5632 7 euclidean
308 100 4950 10 2 0.5 1e+05 1e+05 79.797 5660 8 euclidean
309 100 4950 10 2 0.5 1e+05 1e+05 57.813 5312 9 euclidean
310 100 4950 10 2 0.5 1e+05 1e+05 55.665 5308 10 euclidean
311 100 4950 10 2 1 1e+05 1e+05 54.659 7172 1 euclidean
312 100 4950 10 2 1 1e+05 1e+05 57.695 6902 2 euclidean
313 100 4950 10 2 1 1e+05 1e+05 77.427 7200 3 euclidean
314 100 4950 10 2 1 1e+05 1e+05 75.081 7054 4 euclidean
315 100 4950 10 2 1 1e+05 1e+05 59.789 6930 5 euclidean
316 100 4950 10 2 1 1e+05 1e+05 76.94 7042 6 euclidean
317 100 4950 10 2 1 1e+05 1e+05 54.628 7078 7 euclidean
318 100 4950 10 2 1 1e+05 1e+05 59.125 6932 8 euclidean
319 100 4950 10 2 1 1e+05 1e+05 73.704 6952 9 euclidean
320 100 4950 10 2 1 1e+05 1e+05 77.94 7128 10 euclidean
321 100 4950 10 3 0.05 1e+05 1e+05 71.988 1888 1 euclidean
322 100 4950 10 3 0.05 1e+05 1e+05 67.317 1946 2 euclidean
323 100 4950 10 3 0.05 1e+05 1e+05 53.244 1940 3 euclidean
324 100 4950 10 3 0.05 1e+05 1e+05 71.102 1962 4 euclidean
325 100 4950 10 3 0.05 1e+05 1e+05 70.678 1810 5 euclidean
326 100 4950 10 3 0.05 1e+05 1e+05 71.266 1840 6 euclidean
327 100 4950 10 3 0.05 1e+05 1e+05 77.702 1892 7 euclidean
328 100 4950 10 3 0.05 1e+05 1e+05 74.003 1890 8 euclidean
329 100 4950 10 3 0.05 1e+05 1e+05 50.783 1774 9 euclidean
330 100 4950 10 3 0.05 1e+05 1e+05 66.786 1912 10 euclidean
331 100 4950 10 3 0.1 1e+05 1e+05 72.585 2562 1 euclidean
332 100 4950 10 3 0.1 1e+05 1e+05 74.907 2528 2 euclidean
333 100 4950 10 3 0.1 1e+05 1e+05 54.385 2458 3 euclidean
334 100 4950 10 3 0.1 1e+05 1e+05 48.239 2796 4 euclidean
335 100 4950 10 3 0.1 1e+05 1e+05 49.183 2384 5 euclidean
336 100 4950 10 3 0.1 1e+05 1e+05 53.937 2690 6 euclidean
337 100 4950 10 3 0.1 1e+05 1e+05 56.25 2552 7 euclidean
338 100 4950 10 3 0.1 1e+05 1e+05 68.864 2684 8 euclidean
339 100 4950 10 3 0.1 1e+05 1e+05 75.273 2420 9 euclidean
340 100 4950 10 3 0.1 1e+05 1e+05 52.677 2746 10 euclidean
341 100 4950 10 3 0.5 1e+05 1e+05 53.099 5480 1 euclidean
342 100 4950 10 3 0.5 1e+05 1e+05 49.752 5300 2 euclidean
343 100 4950 10 3 0.5 1e+05 1e+05 67.339 5304 3 euclidean
344 100 4950 10 3 0.5 1e+05 1e+05 51.33 5428 4 euclidean
345 100 4950 10 3 0.5 1e+05 1e+05 55.845 5350 5 euclidean
346 100 4950 10 3 0.5 1e+05 1e+05 50.016 5238 6 euclidean
347 100 4950 10 3 0.5 1e+05 1e+05 72.917 5616 7 euclidean
348 100 4950 10 3 0.5 1e+05 1e+05 69.737 5388 8 euclidean
349 100 4950 10 3 0.5 1e+05 1e+05 68.191 5354 9 euclidean
350 100 4950 10 3 0.5 1e+05 1e+05 51.046 5400 10 euclidean
351 100 4950 10 3 1 1e+05 1e+05 54.497 7114 1 euclidean
352 100 4950 10 3 1 1e+05 1e+05 52.034 7082 2 euclidean
353 100 4950 10 3 1 1e+05 1e+05 68.031 6936 3 euclidean
354 100 4950 10 3 1 1e+05 1e+05 55.646 7198 4 euclidean
355 100 4950 10 3 1 1e+05 1e+05 53.397 7040 5 euclidean
356 100 4950 10 3 1 1e+05 1e+05 77.6 7050 6 euclidean
357 100 4950 10 3 1 1e+05 1e+05 52.217 7060 7 euclidean
358 100 4950 10 3 1 1e+05 1e+05 71.872 7208 8 euclidean
359 100 4950 10 3 1 1e+05 1e+05 55.279 7020 9 euclidean
360 100 4950 10 3 1 1e+05 1e+05 57.566 7092 10 euclidean
361 100 4950 20 1 0.05 2e+05 2e+05 117.83 9630 1 euclidean
362 100 4950 20 1 0.05 2e+05 2e+05 118.379 9684 2 euclidean
363 100 4950 20 1 0.05 2e+05 2e+05 113.921 9564 3 euclidean
364 100 4950 20 1 0.05 2e+05 2e+05 120.796 9856 4 euclidean
